,formatted_address,latitude,longitude,postcode,Height,Floors,Construction Year,Type
157,"888 Rue Wellington #405, Montréal, QC H3C 0N1, Canada",45.49626660000001,-73.55550869999998,H3C 0N1,≈246,20.0,,Autres services professionels
158,"1045 Rue Wellington, Montréal, QC H3C 1V6, Canada",45.493739700000006,-73.5572267,H3C 1V6,≈246,20.0,2014.0,Autres services professionels
159,"135 Rue Sherbrooke E, Montréal, QC H2X 1C6, Canada",45.5138542,-73.56919719999998,H2X 1C6,≈246,20.0,,Autres services professionels
160,"1009 Rue de Bleury, Montréal, QC H2Z 0A3, Canada",45.5041023,-73.56199670000002,H2Z 0A3,≈246,20.0,2006.0,Autres services professionels
161,"1212 Avenue des Pins, Montréal, QC H3G 1A9, Canada",45.50275080000001,-73.58316270000002,H3G 1A9,≈246,20.0,1969.0,Autres services professionels
162,"280 Rue Notre-Dame Est, Montréal, QC H2Y 1C5, Canada",45.5087323,-73.55311809999998,H2Y 1C5,≈246,20.0,1972.0,Autres services professionels
163,"550 Rue Sherbrooke Ouest, Montréal, QC H3A 1B9, Canada",45.5057821,-73.57232479999998,H3A 1B9,≈246,20.0,1954.0,Autres services professionels
164,"680 Rue Sherbrooke Ouest, Montréal, QC H3A 0B8, Canada",45.5046157,-73.57298370000002,H3A 0B8,≈246,20.0,1976.0,Autres services professionels
165,"1350 Rue du Fort, Montréal, QC H3H 2R7, Canada",45.4912761,-73.58110309999998,H3H 2R7,≈246,20.0,,Autres services professionels
166,"2055 Rue Saint Mathieu, Montréal, QC H3H 2J2, Canada",45.49492160000001,-73.5807566,H3H 2J2,≈246,20.0,,Autres services professionels
167,"1645 Boulevard de Maisonneuve O, Montréal, QC H3H 2N3, Canada",45.4951663,-73.58029870000001,H3H 2N3,≈246,20.0,,Autres services professionels
168,"1819 Boulevard de Maisonneuve O, Montréal, QC H3H 1K1, Canada",45.4942934,-73.58109509999998,H3H 1K1,≈246,20.0,,Autres services professionels
169,"2175 Boulevard de Maisonneuve O, Montréal, QC H3H 1L5, Canada",45.4913251,-73.58462940000003,H3H 1L5,≈246,20.0,,Residential
170,"1100 Rue de la Montagne, Montréal, QC H3G 0A1, Canada",45.4966248,-73.5729448,H3G 0A1,≈246,20.0,1974.0,Residential
171,"1800 Boulevard René-Lévesque O, Montréal, QC H3H 2H2, Canada",45.4908675,-73.5768142,H3H 2H2,≈246,20.0,,Office
172,"998 Rue Ottawa, Montréal, QC H3C 1S3, Canada",45.4948086,-73.5586616,H3C 1S3,≈246,20.0,1989.0,Immeuble commercial
173,"1201 Boulevard René-Lévesque O, Montréal, QC H3B 2L7, Canada",45.49796250000001,-73.57163609999998,H3B 2L7,≈246,20.0,1974.0,Residential
174,"1659 Rue Sherbrooke Ouest, Montréal, QC H3H 1E3, Canada",45.495737,-73.5828559,H3H 1E3,≈246,20.0,,Residential
175,"612 Rue Saint-Jacques, Montréal, QC H3C 4M8, Canada",45.50085720000001,-73.5604291,H3C 4M8,≈234,19.0,2008.0,Autres services professionels
176,"455 Boulevard René-Lévesque E, Montréal, QC H2L 4Y2, Canada",45.5134126,-73.55806679999998,H2L 4Y2,≈234,19.0,1965.0,Autres services professionels
177,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈234,19.0,,Immeuble commercial
178,"65 Rue Sherbrooke E, Montréal, QC H2X 1C4, Canada",45.51334199999999,-73.56933839999998,H2X 1C4,≈234,19.0,,Autres services professionels
179,"1425 Rue Mackay, Montréal, QC H3G 2H6, Canada",45.4962457,-73.57744040000001,H3G 2H6,≈234,19.0,,Immeuble commercial
180,"315 Boulevard René-Lévesque E, Montréal, QC H2X 3P3, Canada",45.51195790000001,-73.5591573,H2X 3P3,≈234,19.0,1970.0,Autres services professionels
181,"235 Rue Sherbrooke Ouest, Montréal, QC H2X 1X8, Canada",45.50974220000001,-73.5709558,H2X 1X8,≈234,19.0,,Autres services professionels
182,"999 Rue Saint-Urbain, Montréal, QC H2Z 0B4, Canada",45.506716,-73.559799,H2Z 0B4,≈234,19.0,,Residential
183,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈221,18.0,2015.0,Immeuble commercial
184,"625 Rue Saint Maurice, Montréal, QC H3C 1L3, Canada",45.5001487,-73.5590321,H3C 1L3,≈221,18.0,2014.0,Autres services professionels
185,"Cité du commerce électronique Montréal, Montréal, QC H3G, Canada",45.495564,-73.57227590000002,H3G,≈221,18.0,2005.0,Office
186,"1445 Rue Stanley #205, Montréal, QC H3A 3T1, Canada",45.49992020000001,-73.57456090000002,H3A 3T1,≈221,18.0,2003.0,Autres services professionels
187,"1 Rue Notre-Dame Est, Montréal, QC H2Y 1B6, Canada",45.506868,-73.55578729999998,H2Y 1B6,≈221,18.0,1971.0,Immeuble commercial
188,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈221,18.0,2017.0,Immeuble commercial
189,"2150 Boulevard de Maisonneuve O, Montréal, QC H3H 1L2, Canada",45.4914441,-73.5839652,H3H 1L2,≈221,18.0,,Autres services professionels
190,"1010 Rue Cherrier, Montréal, QC H2L 1H8, Canada",45.5215101,-73.5667071,H2L 1H8,≈221,18.0,1967.0,Autres services professionels
191,"2285 Rue Saint Mathieu, Montréal, QC H3H 2J7, Canada",45.4955445,-73.5817343,H3H 2J7,≈221,18.0,,Autres services professionels
192,"2150 Rue Mackay, Montréal, QC H3G 2H8, Canada",45.4970998,-73.5802647,H3G 2H8,≈221,18.0,,Autres services professionels
193,"425 Boulevard de Maisonneuve O, Montréal, QC H3A 3G5, Canada",45.5061376,-73.57036320000002,H3A 3G5,≈221,18.0,1983.0,Autres services professionels
194,"555 Boulevard René-Lévesque O, Montréal, QC H2Z 1B1, Canada",45.50362670000001,-73.5663677,H2Z 1B1,≈221,18.0,1961.0,Autres services professionels
195,"1950 Avenue Lincoln, Montréal, QC H3H 2N8, Canada",45.4934813,-73.5831037,H3H 2N8,≈221,18.0,,Autres services professionels
196,"5 Place Ville Marie, Montreal, QC H3B 2G2, Canada",45.5005469,-73.56894,H3B 2G2,≈221,18.0,1962.0,Autres services professionels
197,"2000 Rue Mansfield, Montréal, QC H3A 1M4, Canada",45.5022638,-73.57371669999998,H3A 1M4,≈221,18.0,1982.0,Autres services professionels
198,"400 Rue Dowd, Montréal, QC H2Z 1B7, Canada",45.50406599999999,-73.563982,H2Z 1B7,≈209,17.0,,Autres services professionels
199,"120 Rue Peel, Montréal, QC H3C 0L8, Canada",45.493016,-73.557132,H3C 0L8,≈209,17.0,2014.0,Immeuble commercial
200,"1255 Rue Jeanne-Mance, Montréal, QC H5B 1E5, Canada",45.50707939999999,-73.56481149999998,H5B 1E5,≈209,17.0,1976.0,Residential
201,"1200 Avenue des Pins, Montréal, QC H3A 1A3, Canada",45.50326389999999,-73.5829073,H3A 1A3,≈209,17.0,,Autres services professionels
202,"Place Jean-Paul-Riopelle, Montréal, QC H2Z, Canada",45.5032599,-73.5614764,H2Z,≈209,17.0,,Autres services professionels
203,"Rue Pierce, Montréal, QC H3H, Canada",45.4947097,-73.5790171,H3H,≈209,17.0,1979.0,Autres services professionels
204,"440 Boulevard René-Lévesque O, Montréal, QC H2Z 1Z6, Canada",45.5043703,-73.56498719999998,H2Z 1Z6,≈209,17.0,1976.0,Autres services professionels
205,"3601 Boul St-Laurent, Montréal, QC H2X 2V5, Canada",45.5140711,-73.57263959999997,H2X 2V5,≈209,17.0,1965.0,Immeuble commercial
206,"1572 Avenue du Docteur-Penfield, Montréal, QC H3G 1C4, Canada",45.496773,-73.58604609999998,H3G 1C4,≈209,17.0,,Autres services professionels
207,"1155 Rue Sherbrooke Ouest, Montréal, QC H3A 2N3, Canada",45.5014505,-73.5773988,H3A 2N3,≈209,17.0,,Residential
208,"3555 Rue Berri, Montréal, QC H2L 4G4, Canada",45.518754,-73.56797740000002,H2L 4G4,≈209,17.0,,Autres services professionels
209,"2121 Rue Tupper, Montréal, QC H3H 1P1, Canada",45.4903096,-73.58191330000002,H3H 1P1,≈209,17.0,,Autres services professionels
210,"1800 Avenue McGill College, Montréal, QC H3A 3J6, Canada",45.50243579999999,-73.57273620000002,H3A 3J6,≈209,17.0,,Autres services professionels
211,"2100 Rue Saint-Marc, Montréal, QC H3H 2G6, Canada",45.4937479,-73.582302,H3H 2G6,≈209,17.0,,Autres services professionels
212,"1350 Rue du Fort, Montréal, QC H3H 2R7, Canada",45.4914287,-73.5810247,H3H 2R7,≈209,17.0,,Residential
213,"999 Boulevard Robert-Bourassa, Montréal, QC H3C 6J7, Canada",45.5009495,-73.56247069999998,H3C 6J7,≈209,17.0,1995.0,Autres services professionels
214,"2000 Avenue McGill College, Montréal, QC H3A 3L3, Canada",45.5026299,-73.57349219999998,H3A 3L3,≈209,17.0,,Immeuble commercial
215,"1440 Rue de la Montagne, Montréal, QC H3G 1Z5, Canada",45.4984303,-73.57654409999998,H3G 1Z5,≈197,16.0,2018.0,Residential
216,"1700 Boulevard René-Lévesque O, Montréal, QC H3H 2V1, Canada",45.4926581,-73.5758584,H3H 2V1,≈197,16.0,2003.0,Autres services professionels
217,"3405 Avenue Atwater, Montréal, QC H3H 1Y2, Canada",45.4920057,-73.58865329999998,H3H 1Y2,≈197,16.0,,Autres services professionels
218,"3580 Avenue Lorne, Montréal, QC H2X 2A7, Canada",45.50769260000001,-73.5774781,H2X 2A7,≈197,16.0,,Autres services professionels
219,"455 Rue Sherbrooke Ouest, Montréal, QC H3A 1B7, Canada",45.5069316,-73.57239090000002,H3A 1B7,≈197,16.0,1965.0,Residential
220,"1650 Avenue Lincoln, Montréal, QC H3H 1H1, Canada",45.49549520000001,-73.5806084,H3H 1H1,≈197,16.0,,Autres services professionels
221,"625 Rue Sainte-Catherine O, Montréal, QC H3B 1B7, Canada",45.5037501,-73.5694666,H3B 1B7,≈197,16.0,1972.0,Autres services professionels
222,"625 Boulevard René-Lévesque O, Montréal, QC H3B 1R2, Canada",45.5025526,-73.56718790000002,H3B 1R2,≈197,16.0,1972.0,Office
223,"475 Avenue du Président-Kennedy, Montréal, QC H3A 1J7, Canada",45.5064879,-73.5713305,H3A 1J7,≈197,16.0,,Autres services professionels
224,"1 Rue Quai de l'Horloge, Montréal, QC H2L 5C1, Canada",45.5122503,-73.5458503,H2L 5C1,≈197,16.0,,Office
225,"185 Rue Sherbrooke E, Montréal, QC H2X 1C7, Canada",45.514572,-73.56872299999998,H2X 1C7,≈197,16.0,,Residential
226,"955 Boulevard René-Lévesque E, Montréal, QC H2L 4R2, Canada",45.515708,-73.55597440000003,H2L 4R2,≈197,16.0,,Immeuble commercial
227,"20 Boulevard de Maisonneuve O Montréal, QC H2X 1Z3 Boulevard de Maisonneuve O, Montréal, QC H2X 1Z3, Canada",45.5103151,-73.5652667,H2X 1Z3,≈197,16.0,1967.0,Autres services professionels
228,"505 Boulevard de Maisonneuve O, Montréal, QC H3A 3C2, Canada",45.5056764,-73.57087589999998,H3A 3C2,≈197,16.0,1981.0,Office
229,"McIntyre Medical Bldg, 3655 Promenade Sir-William-Osler, Montreal, QC H3G 0B1, Canada",45.5030628,-73.5824822,H3G 0B1,≈197,16.0,1965.0,Office
230,"2138 Rue Sainte-Catherine, Montréal, QC H3H 0B2, Canada",45.4908277,-73.5824548,H3H 0B2,≈197,16.0,,Autres services professionels
231,"3463 Av du Parc, Montréal, QC H2X 2H6, Canada",45.5092101,-73.57260550000002,H2X 2H6,≈197,16.0,1976.0,Residential
232,"1155 Rue Sherbrooke Ouest, Montréal, QC H3A 2N3, Canada",45.5014505,-73.5773988,H3A 2N3,≈197,16.0,,Residential
233,"1800 Boulevard René-Lévesque O, Montréal, QC H3H 2H2, Canada",45.4909186,-73.57673270000002,H3H 2H2,≈185,15.0,2017.0,Autres services professionels
234,"1751 Rue Richardson suite 3.500, Montréal, QC H3K 1G6, Canada",45.484051,-73.562141,H3K 1G6,≈185,15.0,2015.0,Autres services professionels
235,"1321 Rue Sherbrooke Ouest, Montréal, QC H3G 1J4, Canada",45.4994885,-73.57921309999998,H3G 1J4,≈185,15.0,1926.0,Autres services professionels
236,"1170 Rue Montcalm, Montréal, QC H2L 0M2, Canada",45.5175385,-73.55460759999998,H2L 0M2,≈185,15.0,2013.0,Autres services professionels
237,"955 Boulevard René-Lévesque E, Montréal, QC H2L 4R2, Canada",45.515708,-73.55597440000003,H2L 4R2,≈185,15.0,,Immeuble commercial
238,"500 Avenue des Pins, Montréal, QC H2W 1S7, Canada",45.5091999,-73.5794373,H2W 1S7,≈185,15.0,,Autres services professionels
239,"2055 Rue de Bleury, Montréal, QC H3A 2K2, Canada",45.5076883,-73.5696329,H3A 2K2,≈185,15.0,,Autres services professionels
240,"3440 Rue Durocher, Montréal, QC H2X 2E2, Canada",45.50735359999999,-73.5734805,H2X 2E2,≈185,15.0,,Autres services professionels
241,"800 Boulevard René-Lévesque O W, Montréal, QC H3B 1X9, Canada",45.50131629999999,-73.56741140000003,H3B 1X9,≈185,15.0,1960.0,Immeuble commercial
242,"1 Place Ville Marie-Ground Flr, Montreal, Quebec H3C 3B5, Canada",45.5015,-73.5684,H3C 3B5,≈185,15.0,1946.0,Immeuble commercial
243,"2050 Rue Mansfield, Montréal, QC H3A 1Y9, Canada",45.5024537,-73.5744722,H3A 1Y9,≈185,15.0,,Immeuble commercial
244,"1280 Rue Saint-Jacques, Montréal, QC H3C 0G1, Canada",45.49446529999999,-73.5666815,H3C 0G1,≈185,15.0,,Autres services professionels
245,"1050 De La Gauchetiere West, Montréal, QC H3B 4C9, Canada",45.49767670000001,-73.56743309999997,H3B 4C9,≈185,15.0,,Residential
246,"395 Maisonneuve Blvd W, Montreal, QC H3A 1L6, Canada",45.506494,-73.56995699999997,H3A 1L6,≈185,15.0,1968.0,Autres services professionels
247,"1430 Rue Saint-Marc, Montréal, QC H3H 2G3, Canada",45.4930166,-73.5811666,H3H 2G3,≈185,15.0,,Autres services professionels
248,"1255 Rue Saint-Marc, Montréal, QC H3H 2E8, Canada",45.49250319999999,-73.57962590000002,H3H 2E8,≈185,15.0,,Autres services professionels
249,"2150 Boulevard de Maisonneuve O, Montréal, QC H3H 1L2, Canada",45.4914441,-73.5839652,H3H 1L2,≈185,15.0,,Autres services professionels
250,"740 Rue Notre-Dame Ouest, Montréal, QC H3C 1J2, Canada",45.4993916,-73.56010090000002,H3C 1J2,≈185,15.0,1976.0,Office
251,"Sussex St, Montreal, QC H3H, Canada",45.48912550000001,-73.5808373,H3H,≈185,15.0,,Autres services professionels
252,"1450 Rue Guy, Montréal, QC H3H 0A1, Canada",45.495436100000006,-73.5791907,H3H 0A1,≈185,15.0,2009.0,Autres services professionels
253,"1001 Boulevard de Maisonneuve O, Montréal, QC H3A 1X8, Canada",45.5015521,-73.5745365,H3A 1X8,≈185,15.0,1986.0,Autres services professionels
254,"Montreal, QC, Canada",45.4990653,-73.56418520000003,,≈185,15.0,1967.0,Office
255,"2075 Rue University, Montréal, QC H3A 1T9, Canada",45.5047659,-73.57261820000002,H3A 1T9,≈185,15.0,1974.0,Autres services professionels
256,"40 Rue des Seigneurs, Montréal, QC H3J 1X2, Canada",45.4856859,-73.56671259999997,H3J 1X2,≈172,14.0,,Autres services professionels
257,"1140 Rue Wellington, Montréal, QC H3C 1V8, Canada",45.492185,-73.5579436,H3C 1V8,≈172,14.0,2015.0,Autres services professionels
258,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈172,14.0,2014.0,Immeuble commercial
259,"901 de la Commune Est #614, Vieux-Montréal, QC H2L 0E2, Canada",45.51313920000001,-73.54930490000002,H2L 0E2,≈172,14.0,2012.0,Autres services professionels
260,"345 Rue de la Gauchetière O, Montréal, QC H2Z 0A2, Canada",45.5041243,-73.5630121,H2Z 0A2,≈172,14.0,2006.0,Autres services professionels
261,"1171 Rue Sainte-Catherine E, Montréal, QC H2L 2G8, Canada",45.5183218,-73.556598,H2L 2G8,≈172,14.0,2005.0,Immeuble commercial
262,"1700 Rue Amherst, Montréal, QC H2L 3L5, Canada",45.518666,-73.560347,H2L 3L5,≈172,14.0,2002.0,Autres services professionels
263,"1 Ave Du Port, Montreal, QC H3C, Canada",45.5215579,-73.5388593,H3C,≈172,14.0,1922.0,Autres services professionels
264,"162 Rue Prince Arthur E, Montréal, QC H2X 1B7, Canada",45.515444,-73.5710385,H2X 1B7,≈172,14.0,,Immeuble commercial
265,"4035 Rue Saint-Ambroise #220n, Montréal, QC H4C 2E1, Canada",45.4909708,-73.5581162,H4C 2E1,≈172,14.0,,Autres services professionels
266,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈172,14.0,,Immeuble commercial
267,"780 Rue Wellington, Montréal, QC H3C 2M8, Canada",45.4967407,-73.5553626,H3C 2M8,≈172,14.0,,Immeuble commercial
268,"150 Rue Ontario E, Montréal, QC H2X 2Z7, Canada",45.5128778,-73.56594869999998,H2X 2Z7,≈172,14.0,,Autres services professionels
269,"2045 Rue Stanley, Montréal, QC H3A 2V4, Canada",45.50068579999999,-73.57594689999998,H3A 2V4,≈172,14.0,,Office
270,"175 Rue Sherbrooke Ouest, Montréal, QC H2X 1X5, Canada",45.51027879999999,-73.57074909999999,H2X 1X5,≈172,14.0,,Autres services professionels
271,"3465 Rue Hutchison, Montréal, QC H2X 2G3, Canada",45.508588,-73.57333,H2X 2G3,≈172,14.0,,Autres services professionels
272,"1150 Rue Sherbrooke E, Montréal, QC H2L 1L8, Canada",45.522094,-73.56520700000002,H2L 1L8,≈172,14.0,,Autres services professionels
273,"3445 Rue Drummond, Montréal, QC H3G 1X9, Canada",45.50131469999999,-73.5794708,H3G 1X9,≈172,14.0,,Autres services professionels
274,"Papineau / Sainte-Catherine, Montréal, QC H2K 4H4, Canada",45.522614,-73.552565,H2K 4H4,≈172,14.0,,Autres services professionels
275,"1808 Rue Sherbrooke Ouest, Montréal, QC H3H 1E5, Canada",45.4954225,-73.58239979999998,H3H 1E5,≈172,14.0,,Residential
276,"Rue Milton, Montréal, QC H2X, Canada",45.5096398,-73.5735277,H2X,≈172,14.0,,Autres services professionels
277,"1255 Phillips Square, Montreal, QC H3B 3G1, Canada",45.5041764,-73.56834049999998,H3B 3G1,≈172,14.0,1949.0,Autres services professionels
278,"2175 Boulevard de Maisonneuve O, Montréal, QC H3H 1L5, Canada",45.4913251,-73.58462940000003,H3H 1L5,≈172,14.0,1976.0,Residential
279,"1801 Avenue McGill College, Montréal, QC H3A 1Z4, Canada",45.50287720000001,-73.57228119999998,H3A 1Z4,≈172,14.0,1976.0,Autres services professionels
280,"1155 Boulevard Robert-Bourassa, Montréal, QC H3B 3A7, Canada",45.50233529999999,-73.567647,H3B 3A7,≈172,14.0,1959.0,Autres services professionels
281,"801 Rue Sherbrooke E #200, Montréal, QC H2L 0B7, Canada",45.51938740000001,-73.56678659999999,H2L 0B7,≈172,14.0,1962.0,Immeuble commercial
282,"350 Rue Prince Arthur O, Montréal, QC H2X 3R4, Canada",45.5101723,-73.57571970000002,H2X 3R4,≈172,14.0,,Autres services professionels
283,"1191 Rue Saint-Marc, Montréal, QC H3H 2E4, Canada",45.49185079999999,-73.57834709999999,H3H 2E4,≈172,14.0,,Autres services professionels
284,"370 Rue Guy, Montréal, QC H3J 1S6, Canada",45.4894182,-73.56599140000002,H3J 1S6,≈172,14.0,1954.0,Autres services professionels
285,"119 Rue Saint-Jacques, Montréal, QC H2Y 1L6, Canada",45.5048325,-73.55797179999998,H2Y 1L6,≈172,14.0,1959.0,Immeuble commercial
286,"612 Rue Saint-Jacques, Montréal, QC H3C 4M8, Canada",45.50085720000001,-73.5604291,H3C 4M8,≈172,14.0,1962.0,Autres services professionels
287,"450 Rue Sherbrooke E, Montréal, QC H2X 3L1, Canada",45.5175608,-73.56665269999998,H2X 3L1,≈172,14.0,,Office
288,"1140 Boulevard de Maisonneuve O, Montréal, QC H3A 1M8, Canada",45.5002073,-73.57500449999998,H3A 1M8,≈172,14.0,1969.0,Autres services professionels
289,"1055 Boulevard René-Lévesque E, Montréal, QC H2L 4S5, Canada",45.5163129,-73.5552463,H2L 4S5,≈172,14.0,1979.0,Autres services professionels
290,"1134 Rue Sainte-Catherine O, Montréal, QC H3B 1H5, Canada",45.49944,-73.5732376,H3B 1H5,≈172,14.0,1950.0,Autres services professionels
291,"1155 Rue Guy, Montréal, QC H3H 2K5, Canada",45.494145,-73.57496409999997,H3H 2K5,≈172,14.0,,Residential
292,"1501 Rue de Bleury, Montréal, QC H3A 0H3, Canada",45.5073534,-73.5682714,H3A 0H3,≈160,13.0,2019.0,Autres services professionels
293,"845 Rue Sherbrooke Ouest, Montréal, QC H3A 0G4, Canada",45.5047223,-73.57494709999997,H3A 0G4,≈160,13.0,,Autres services professionels
294,"900 Rue Saint-Denis, Montréal, QC H2X 0A9, Canada",45.511138,-73.55579499999997,H2X 0A9,≈160,13.0,2013.0,Autres services professionels
295,"1199 Rue de Bleury, Montréal, QC H3B 3H9, Canada",45.5059984,-73.5654936,H3B 3H9,≈160,13.0,,Autres services professionels
296,"225 Rue Sherbrooke E, Montréal, QC H2X 1C9, Canada",45.5148792,-73.56852740000002,H2X 1C9,≈160,13.0,,Autres services professionels
297,"550 Rue Sherbrooke Ouest, Montréal, QC H3A 1B9, Canada",45.5054306,-73.5724642,H3A 1B9,≈160,13.0,,Autres services professionels
298,"3460 Rue Durocher, Montréal, QC H2X 2E3, Canada",45.5077623,-73.57403339999998,H2X 2E3,≈160,13.0,,Autres services professionels
299,"3445 Rue Hutchison, Montréal, QC H2X 2G2, Canada",45.5083525,-73.57286640000002,H2X 2G2,≈160,13.0,,Autres services professionels
300,"600 Boulevard René-Lévesque O, Montréal, QC H3L 3J7, Canada",45.50270159999999,-73.56613469999998,H3L 3J7,≈160,13.0,1949.0,Autres services professionels
301,"215 Rue Sainte-Catherine E, Montréal, QC H2X 1L2, Canada",45.5120795,-73.5620668,H2X 1L2,≈160,13.0,,Immeuble commercial
302,"215 Rue Sainte-Catherine E, Montréal, QC H2X 1L2, Canada",45.5120795,-73.5620668,H2X 1L2,≈160,13.0,,Immeuble commercial
303,"215 Rue Sainte-Catherine E, Montréal, QC H2X 1L2, Canada",45.5120795,-73.5620668,H2X 1L2,≈160,13.0,,Immeuble commercial
304,"215 Rue Sainte-Catherine E, Montréal, QC H2X 1L2, Canada",45.5120795,-73.5620668,H2X 1L2,≈160,13.0,,Immeuble commercial
305,"1 Ave Du Port, Montreal, QC H3C, Canada",45.5215579,-73.5388593,H3C,≈160,13.0,,Autres services professionels
306,"1050 De La Gauchetiere West, Montréal, QC H3B 4C9, Canada",45.49767670000001,-73.56743309999997,H3B 4C9,≈160,13.0,,Residential
307,"1980 Rue Sherbrooke Ouest, Montréal, QC H3H 1E8, Canada",45.493736,-73.5836599,H3H 1E8,≈160,13.0,1953.0,Office
308,"1900 Avenue Lincoln, Montréal, QC H3H 1H7, Canada",45.4938718,-73.5827175,H3H 1H7,≈160,13.0,1960.0,Autres services professionels
309,"2050 Boulevard de Maisonneuve O, Montréal, QC H3H 1K7, Canada",45.4923404,-73.5827183,H3H 1K7,≈160,13.0,,Autres services professionels
310,"805 Rue Sherbrooke Ouest, Montréal, QC H3A 2K6, Canada",45.5047573,-73.5748978,H3A 2K6,≈160,13.0,1970.0,Autres services professionels
